ms,VoLi_s,VoLi_i,VoLi_pwm,VoRe_s,VoRe_i,VoRe_pwm,HiLi_s,HiLi_i,HiLi_pwm,HiRe_s,HiRe_i,HiRe_pwm
0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
100.0,0.3,0.17,179.0,0.3,0.15,171.0,0.3,0.0,242.0,0.3,0.02,221.0
200.0,0.3,0.28,131.0,0.3,0.23,138.0,0.3,0.27,135.0,0.3,0.24,137.0
300.0,0.3,0.3,121.0,0.3,0.26,133.0,0.3,0.29,114.0,0.3,0.3,99.0
400.0,0.3,0.29,127.0,0.3,0.25,142.0,0.3,0.3,113.0,0.3,0.31,93.0
500.0,0.3,0.31,115.0,0.3,0.27,140.0,0.3,0.31,110.0,0.3,0.31,90.0
600.0,0.3,0.32,115.0,0.3,0.28,134.0,0.3,0.3,113.0,0.3,0.31,86.0
700.0,0.3,0.31,115.0,0.3,0.28,135.0,0.3,0.31,109.0,0.3,0.31,90.0
800.0,0.3,0.31,119.0,0.3,0.29,140.0,0.3,0.31,107.0,0.3,0.31,87.0
900.0,0.3,0.31,114.0,0.3,0.3,139.0,0.3,0.3,105.0,0.3,0.3,92.0
1000.0,0.3,0.3,111.0,0.3,0.29,136.0,0.3,0.3,110.0,0.3,0.3,87.0
1100.0,0.3,0.31,113.0,0.3,0.29,139.0,0.3,0.3,109.0,0.3,0.31,87.0
1201.0,0.3,0.3,112.0,0.3,0.29,137.0,0.3,0.31,111.0,0.3,0.3,90.0
1301.0,0.3,0.3,115.0,0.3,0.3,140.0,0.3,0.31,109.0,0.3,0.31,88.0
1401.0,0.3,0.31,111.0,0.3,0.3,138.0,0.3,0.3,106.0,0.3,0.29,87.0
1501.0,0.3,0.31,107.0,0.3,0.3,136.0,0.3,0.3,112.0,0.3,0.3,93.0
1601.0,0.3,0.31,114.0,0.3,0.3,140.0,0.3,0.3,107.0,0.3,0.3,89.0
1701.0,0.3,0.31,107.0,0.3,0.31,137.0,0.3,0.29,107.0,0.3,0.29,87.0
1801.0,0.3,0.3,112.0,0.3,0.3,137.0,0.3,0.3,110.0,0.3,0.3,91.0
1901.0,0.3,0.3,116.0,0.3,0.31,139.0,0.3,0.3,109.0,0.3,0.31,87.0
0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,107.0,0.0,0.29,86.0
